query_id,before_top_state,after_top_state,top_state_changed,before_top_state_action,after_top_state_action,top_state_action_changed,before_selected_model,after_selected_model,selected_model_changed,action_equivalent_top_state_change,oracle_selected_model,before_matches_oracle_model,after_matches_oracle_model,before_utility,after_utility,oracle_utility,utility_delta,before_regret,after_regret,regret_delta,belief_l1_shift,belief_top_prob_shift
aime:hybrid:4,z10,z10,False,Qwen3-8B,Qwen3-8B,False,Qwen3-8B,Qwen3-8B,False,False,Qwen3-8B,True,True,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.060024795997290686,-0.011642737707455497
aime:hybrid:16,z0,z0,False,Qwen3-8B,Qwen3-8B,False,Qwen3-8B,Qwen3-8B,False,False,Qwen3-8B,True,True,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.001852266027888837,0.00019737642480843753
aime:hybrid:17,z0,z0,False,Qwen3-8B,Qwen3-8B,False,Qwen3-8B,Qwen3-8B,False,False,Qwen3-8B,True,True,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.03362704207050362,0.01424986770631842
aime:hybrid:18,z0,z0,False,Qwen3-8B,Qwen3-8B,False,Qwen3-8B,Qwen3-8B,False,False,Qwen3-8B,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004441642637489773,0.0016885355665827717
aime:hybrid:22,z11,z11,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,Qwen3-8B,Qwen3-8B,False,False,Qwen3-8B,True,True,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.04237181988628761,0.019534237494728213
aime:hybrid:27,z0,z0,False,Qwen3-8B,Qwen3-8B,False,Qwen3-8B,Qwen3-8B,False,False,Intern-S1-mini,False,False,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.040587154299781804,0.015066780534089497
aime:hybrid:30,z0,z11,True,Qwen3-8B,MiniCPM4.1-8B,True,Qwen3-8B,Qwen3-8B,False,True,Qwen3-8B,True,True,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.18933987314672038,0.07049487776362123
aime:hybrid:31,z11,z11,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,False,Qwen3-8B,False,False,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.005275824272355848,-0.0026379121361779223
aime:hybrid:34,z0,z0,False,Qwen3-8B,Qwen3-8B,False,Qwen3-8B,Qwen3-8B,False,False,Qwen3-8B,True,True,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.058439242019749614,0.02917022351688392
aime:hybrid:36,z11,z11,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,False,Qwen3-8B,False,False,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.27695941863636814,-0.13678711879326533
aime:hybrid:37,z0,z0,False,Qwen3-8B,Qwen3-8B,False,Qwen3-8B,Qwen3-8B,False,False,Intern-S1-mini,False,False,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.16640688694215175,-0.08135091897674407
aime:hybrid:39,z10,z10,False,Qwen3-8B,Qwen3-8B,False,Qwen3-8B,Qwen3-8B,False,False,Qwen3-8B,True,True,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.28699312033969837,-0.09432938176552691
aime:hybrid:44,z0,z0,False,Qwen3-8B,Qwen3-8B,False,Qwen3-8B,Qwen3-8B,False,False,Qwen3-8B,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21476533615074378,0.0910840860350759
aime:hybrid:53,z4,z4,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,False,Qwen3-8B,False,False,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.30907341900622143,-0.09051593933588076
